snapshot_date,login,name,github_url,website,location,sector,verified,account_type,description,followers,following,public_repos,public_gists,total_stargazers,created_at,updated_at,archived_at,source_url,last_checked
2026-05-25,OpenIPC,OpenIPC,https://github.com/OpenIPC,https://openipc.org,Italy,N/D,False,Organization,Alternative IP Camera firmware from an open community,2218,0,134,0,5908,2018-12-22T15:41:17Z,2025-09-03T09:21:11Z,,https://github.com/OpenIPC,2026-05-25
2026-05-25,italia,Developers Italia,https://github.com/italia,https://developers.italia.it,Italy,PA,True,Organization,Open source code and developers community of the Italian government,1854,0,426,0,6670,2015-10-29T10:07:29Z,2026-05-24T12:04:11Z,,https://github.com/italia,2026-05-25
2026-05-25,volumio,Volumio Srl,https://github.com/volumio,http://volumio.org,Firenze - Italia,N/D,False,User,Open source Audiophile Media Player for Raspberry PI and other micro-computers. Easy to use thanks to its web ui and optimized for bit perfect audio playback,1058,3,134,0,2370,2013-11-02T01:38:15Z,2026-05-25T13:02:44Z,,https://github.com/volumio,2026-05-25
2026-05-25,unitn-drive,UniTN - DISI Drive,https://github.com/unitn-drive,,Italy,N/D,False,Organization,,791,0,5,0,19,2022-05-23T17:02:55Z,2023-06-16T11:36:14Z,,https://github.com/unitn-drive,2026-05-25
2026-05-25,NyarchLinux,Nyarch Linux,https://github.com/NyarchLinux,https://nyarchlinux.moe,Italy,N/D,False,Organization,Nyarch Linux is a (meme) linux distribution based on Arch Linux made for very degenerated weebs,648,0,33,0,1685,2022-12-30T13:39:51Z,2024-01-27T20:07:31Z,,https://github.com/NyarchLinux,2026-05-25
2026-05-25,cheshire-cat-ai,Cheshire Cat AI,https://github.com/cheshire-cat-ai,,Italy,N/D,False,Organization,,623,0,25,0,3375,2023-06-01T14:02:25Z,2024-03-06T16:11:54Z,,https://github.com/cheshire-cat-ai,2026-05-25
2026-05-25,DevExpPlatform,Developer Experience Platform for Eng Group,https://github.com/DevExpPlatform,,Italy,N/D,False,Organization,Sperimentazione Piattaforma Corporate per gli sviluppatori,484,0,6,0,1,2024-06-17T13:32:11Z,2026-04-24T01:55:39Z,,https://github.com/DevExpPlatform,2026-05-25
2026-05-25,Tiledesk,Tiledesk,https://github.com/Tiledesk,https://www.tiledesk.com,Italy,N/D,False,Organization,"Open-source platform to build and automate AI agents, streamline workflows and integrate seamlessly with your products through white-label solutions",418,0,41,0,1615,2018-06-03T19:50:26Z,2025-09-14T17:10:10Z,,https://github.com/Tiledesk,2026-05-25
2026-05-25,SPDM-Team,SPDM Team,https://github.com/SPDM-Team,spdmteam.com,Italy,N/D,False,Organization,Secret Police Department (mainly lego hacks department),398,0,3,0,82,2022-05-19T17:43:18Z,2022-05-19T17:49:35Z,,https://github.com/SPDM-Team,2026-05-25
2026-05-25,robotology,Robotology,https://github.com/robotology,https://icub.iit.it,Italy,N/D,False,Organization,Group software repositories of the iCub eco-system (but code developed is not necessarily iCub specific!).,324,0,147,0,2685,2012-03-29T13:49:13Z,2025-10-31T17:18:17Z,,https://github.com/robotology,2026-05-25
2026-05-25,pagopa,PagoPA S.p.A.,https://github.com/pagopa,https://pagopa.it/,Italy,PMI,True,Organization,Software e servizi digitali pubblici gestiti da PagoPA S.p.A.,315,0,755,0,1662,2019-11-14T05:21:03Z,2026-05-06T21:54:39Z,,https://github.com/pagopa,2026-05-25
